id,carat,price,cut__Astor Ideal,cut__Good,cut__Ideal,cut__Very Good,color__D,color__E,color__F,color__G,color__H,color__I,color__J,color__K,clarity__FL,clarity__IF,clarity__SI1,clarity__SI2,clarity__VS1,clarity__VS2,clarity__VVS1,clarity__VVS2,caratScaled
136,0.23,467,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
137,0.23,489,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
138,0.23,489,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
139,0.23,445,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
140,0.23,445,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
141,0.23,432,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
142,0.23,454,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
143,0.23,408,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
144,0.23,420,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
145,0.23,429,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
146,0.23,485,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
147,0.23,473,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
148,0.23,463,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
149,0.23,475,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
150,0.23,533,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
151,0.23,541,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
152,0.23,480,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
153,0.23,480,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
154,0.23,482,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
155,0.23,443,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
156,0.23,466,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.23
157,0.23,474,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
158,0.23,474,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
159,0.23,450,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
160,0.23,420,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
161,0.23,341,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
162,0.23,447,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
163,0.23,422,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
164,0.23,392,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
165,0.23,447,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
166,0.23,459,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
167,0.23,453,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
168,0.23,428,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
169,0.23,423,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
170,0.23,410,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
171,0.23,395,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
172,0.23,422,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
173,0.23,459,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
174,0.23,463,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
175,0.23,466,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
176,0.23,475,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
177,0.23,477,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
178,0.23,470,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
179,0.23,463,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
180,0.23,417,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
181,0.23,441,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23
182,0.23,416,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.23
183,0.23,406,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.23
184,0.23,371,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.23
185,0.23,538,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.23
186,0.23,408,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.23
187,0.23,420,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.23
188,0.23,410,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.23
189,0.23,350,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
190,0.23,339,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
191,0.23,347,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
192,0.23,317,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
193,0.23,334,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
194,0.23,338,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
195,0.23,345,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
196,0.23,350,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
197,0.23,353,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
198,0.23,372,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
199,0.23,377,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
200,0.23,350,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
201,0.23,372,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
202,0.23,384,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
203,0.23,372,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
204,0.23,362,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
205,0.23,375,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
206,0.23,365,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
207,0.23,326,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
208,0.23,307,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
209,0.23,383,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
210,0.23,338,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
211,0.23,323,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
212,0.23,335,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
213,0.23,365,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
214,0.23,414,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
215,0.23,414,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
216,0.23,414,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
217,0.23,384,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
218,0.23,355,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
219,0.23,360,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
220,0.23,360,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
221,0.23,358,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
222,0.23,509,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
223,0.23,338,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
224,0.23,332,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
225,0.23,319,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
226,0.23,328,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
227,0.23,332,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
228,0.23,326,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
229,0.23,355,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
230,0.23,321,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
231,0.23,350,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
232,0.23,329,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
233,0.23,355,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
234,0.23,326,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
235,0.23,320,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
236,0.23,321,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
237,0.23,326,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
238,0.23,328,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
239,0.23,458,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
240,0.23,382,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
241,0.23,384,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
242,0.23,307,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
243,0.23,371,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
244,0.23,364,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
245,0.23,364,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
246,0.23,380,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
247,0.23,373,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
248,0.23,365,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
249,0.23,313,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
250,0.23,381,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
251,0.23,316,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
252,0.23,326,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
253,0.23,327,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
254,0.23,357,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23
